clean_text,score,bank
maaf ini kok stelah update lampu indikator merah teruspadahal sudah saya restart hp saya terus sudah saya mode pesawat tetep aja gak bisa mohon penjelasanya,1,BCAMobile_reviews
aplikasi bca mobile akhir ini knp ya tidak bisa cek saldo atau lainya begitu klik info saldo atau mutasi langsung ke menu awal dan selalu gagal meski dicoba berulang kali keesokan harinya,1,BCAMobile_reviews
stres saldo suka ilang sendiri,1,BCAMobile_reviews
perasaan br di upgred hr yg laluudh mnt d up gred lg ajsemingu bsa xx upgred,1,BCAMobile_reviews
sending teross ni aplikasi udah seharian nungguin tetep aja sending,1,BCAMobile_reviews
segitu susah nya vertifikasi wajah aplikasi bukan untuk mempermudah malah mempersulit it bca pada gak bisa kerja apa,1,BCAMobile_reviews
kuota banyak jaringan stabil indikator merah terus,1,BCAMobile_reviews
maintenance nya lamapemeliharaan sistem tertulis jam ini udah lebih dari jam masih ga bisa di buka,1,BCAMobile_reviews
sekarang app saya force close terus,1,BCAMobile_reviews
verifikasi wajah susah gagal terus harus ke cs wadalahhhhh buruk kali aplikasi ini sekarang susah ribet banget,1,BCAMobile_reviews
errroooorrr terus dr tdi heran,1,BCAMobile_reviews
sehabis update tidak bisa diakses,1,BCAMobile_reviews
tidak terpercaya,1,BCAMobile_reviews
semenjak update terakhir kali mau transaksi lemot bgt delaynya dari notif lampu biru ke ijo,1,BCAMobile_reviews
tolong untuk kondisikan aplikasinya kadang sering ngadat kalau mau transaksi wahai developer,1,BCAMobile_reviews
makin jelek,1,BCAMobile_reviews
scan wajah gagal terusapes,1,BCAMobile_reviews
lampu indikator selalu merah padahal sinyal lncarr,1,BCAMobile_reviews
ngeluh banget sama bca skrng verifikasinya sulit udah ikutin instruksi ktp tapi pas verifikasi wajah gagal aja udah berapa kali dicoba udah sesuai dengan instruksi foto pas dengan layar sesuai dengan bulatan biru masih aja ga bisa tolong si perbaiki lagi buat verifikasi wajah nya,1,BCAMobile_reviews
bca mobile sampahaplikasi sangat buruk masa mau masuk sering di suruh verifikasi ulang muludasar aplikasi sampah,1,BCAMobile_reviews
kenapasiii mau verifikasi sms gabisa muluuu ada bacaan sementara transaksi tidak dapat diproses silahkan coba beberapa saat lagi tiap coba gitu lagi pulsa guee mubazirrr woyyyy,1,BCAMobile_reviews
hadeeh udh lama gk buka apl ini pas buka kode akses bener trus pin jg bener trus minta update setelah update malah pin salah trus pdhal gk di ubah trus saya kluar masuk lg malah kolom kode akses gk cukup buat nulis kode akses saya hahaha gimana ini,1,BCAMobile_reviews
kenapa menu editnya di inbok di hilangkan bikin ga nyaman di mataparah,1,BCAMobile_reviews
saya mau daftar m banking selalu ada kendala nomor telepon ajah,1,BCAMobile_reviews
sudah selesai download tp kok gagal,1,BCAMobile_reviews
saya ingin menyampaikan keluhan masa iya saya sudah melakukan top up dari bca ke telkomsel sebesar ngga ke kirim pulsanya tapi uang dari bca nya sudah kepotong sudah di cek no telpon nya juga udah bener ngajuin ke halo bca malah di matiin terus gimana tanggung jawabnya,1,BCAMobile_reviews
aplikasi taig ngabisin waktu doang,1,BCAMobile_reviews
aplikasi buruk semenjak ada sken wajah jadi susah,1,BCAMobile_reviews
eror mulu topup flazz,1,BCAMobile_reviews
lemot parah udah pk wifi juga,1,BCAMobile_reviews
udah download kali buat update tapi tetep gabisa digunain yg keluar tulisan suruh update mulu padahal lagi urgent,1,BCAMobile_reviews
bca sekarang tambah ribet pakek acara verifikasi wajah ujungnya juga gak bisa rencananya mau pindah pakek bank lain saja jika bca semakin ribet,1,BCAMobile_reviews
gabisa dibuka di hp huawei krn mengandung malware sm nyuri info pribadi di huawei protectnya,1,BCAMobile_reviews
sangat kecewaverifikasi wajah selalu gagalpadahal wajah asli saya sendiri gagal kali diblokir lalu suruh hubungi bca service tlvon habis k cuma dikasih panduan daftar ulang nomor handphone setelah saya lakukan dan coba login m bca lagi verifikasi gagal lagidan blokir lagi kenapa sekarang seperti ini,1,BCAMobile_reviews
ini kenapa verifikasi ulang terus boros pulsa klo gini mulu,1,BCAMobile_reviews
maaf kalo saya kasih rating karena mau ambil qris rekening sendiri gak bisa,1,BCAMobile_reviews
rusak ni app pak verifikasy gagar trus udah bagus yg kemarin malah di ubah lg tolong dong cpt di perbaikin bikin org susah aja cabang bca saya soalnya jauh kali dari rumah,1,BCAMobile_reviews
woi ini gmna si semua aksebilitas uda matii masi aja tetep force close plis laa penguna banyak tapi dari segi kualitas aplikasi malah menurun,1,BCAMobile_reviews
kocakkk gw ga bisa login ke bca nya tiba tiba keluar sendiri anehhhh,1,BCAMobile_reviews
saldo tau kepotong dicek di mutasi rekening gak ada histori nya gak jelas potongan apa,1,BCAMobile_reviews
kok aplikasi tdi bisa di buka,1,BCAMobile_reviews
mohon beri menu edit untuk hapus histori transfer,1,BCAMobile_reviews
habis update tgl okt malah gak bisa dibuka aplikasinya,1,BCAMobile_reviews
kenapa ya lampu indikatornya merah terus padahal sinyal bagus tolong diperbaiki,1,BCAMobile_reviews
kenapa bca mobile saya eror terus yah,1,BCAMobile_reviews
apk ribet mau transaksi aja nunggu lampu indikator hijau dulu,1,BCAMobile_reviews
aplikasi verifikasi ulang susah bngt udh daftar di atm giliran ke aplikasi susah loginnya astaga,1,BCAMobile_reviews
wadidaw,1,BCAMobile_reviews
bagai mana dengan privasi nasabah,1,BCAMobile_reviews
pas mau download lg app mbangking ya ada hp satu yg nyangkut jadi eror trus stiap transaksi,1,BCAMobile_reviews
mau login di hp lain gak bisa mana setiap verifikasi harus kirim sms biaya kirim ditanggung sendiriberapa kali kirim gak bisa berhasil verifikasi nyahabis pulsa ky gini terus,1,BCAMobile_reviews
gmna sih smpe pulsa mau habis maskh belum bs juga kirim kode otp mya,1,BCAMobile_reviews
daftar online selalu di tolak padahal saya anak rantau harus ada surat domisilisaya bru merantau padahal sedangkan kalo daftar offline cukup ktp aja bisamohon system nya di ubahdan juga pelayanan pas video call nya buruk,1,BCAMobile_reviews
hp baru direset pabrik saat mau login lagi perlu kode otp pakai pulsa pulsa sudah habis rb tapi kode otp nya ga muncul,1,BCAMobile_reviews
mangkin ribet scan wajah pormalitas doang ujung nya ke bank buat buka kunci kecewa pakai bca,1,BCAMobile_reviews
saya un install lagiapk nya gak jelas tampilannya norak bngt bikin bingung gak memanjakan mata bangettolong perbaiki yaa biar menarik tampilannya ditambah ada saldo mengendap segalaa udh tf saldo gak muncul malah mengendap nyesel bgt daftar bca,1,BCAMobile_reviews
kecewa gua sm mbanking skarang sllu brmadalah gangguan lampu indikator merah terus pdahalsinyal kuat yg bnerlah jngn buat kcwa pngguna mbanking gua turunin jd bintang aplikasi taiii,1,BCAMobile_reviews
padahal saya mau bikin bank buat nerima gajian saya tapi kenapa di hp saya selalu gagal pas ngirim kode verif hp saya realme i udah bulan saya nyoba di hp saya gabisa terus padahal penting bgt buat di hp saya,1,BCAMobile_reviews
kenapa lampu selalu merah transaksi jadi terganggu,1,BCAMobile_reviews
kok ga bs online ketika menggunakan paket data telkomselkalo pake provider lain br bisa jd hrs ganti provider klo mau aktifin bca mobile,1,BCAMobile_reviews
ingin membuka rekening lama dengan memasukan digit angka no kartu atm kenapa error terus,1,BCAMobile_reviews
tolong perbaikan setiap saya ganti posisi sim card selalu minta verifikasi ulang padahal verifikasi ulang membutuhkan pulsa dan saya harus beli pulsa menggunakan m banking sedangkan mbanking butuh verifikasi ulang bagaimana solusinya,1,BCAMobile_reviews
ikutan,1,BCAMobile_reviews
ngirim dari bank lain terkirim sukses tapi cek di saldo bca nya ga masuk di cek mutasi ga ad transaksi kacau,1,BCAMobile_reviews
abis update gk bisa di buka ampas pas mau transfer juga,1,BCAMobile_reviews
pertama kalinya kecewa dengan aplikasi ini cm gara ganti hp dan aktifasi minta verifikasi wajah wajah ga bisa diverifikasi terus disuruh coba lagi saya bertanya apkah muka saya di ganti yang kuasa hub halo bca disuruh coba terus ga ada solusi lain ya kali aktifasi sampe hari ga bisa aktifitas bisnis jd keganggu,1,BCAMobile_reviews
aplikasi jelek banyak kekurangan ngecek transferan susahnya minta ampun kebanyakan elorrr,1,BCAMobile_reviews
setiap ganti kartu pasti hrs verifikasi ulang skrg kok agak susah verifikasi nya sampe kli kirim sms dlu gak gini,1,BCAMobile_reviews
membocorkan data nasabah,1,BCAMobile_reviews
kenapa gak bisa dipakai,1,BCAMobile_reviews
mbanking saya tidak bisa kebuka aneh sekali aplikasinya setelah update,1,BCAMobile_reviews
zero privacy,1,BCAMobile_reviews
rekening nasabah di acak,1,BCAMobile_reviews
susah masuknyahabisin pulsa,1,BCAMobile_reviews
kenapa ga bs masuk ya mbanking saya mental trus,1,BCAMobile_reviews
aplikasi apaan ini saldo dikuras habis aneh,1,BCAMobile_reviews
kecewa banget saya transaksi menggunakan qris tapi gagal dan saldo tetap kepotong entah kemana ga balik lagi udah hubungi cs gaada tanggapan,1,BCAMobile_reviews
apaan si abis di update malah g bisa ke buka,1,BCAMobile_reviews
bisa ga diinformasikan kalau memang ada pemeliharaan sistem dah gtu lama bngetgara tidak bisa akses ga bisa beli pulsa listrik membuat anak sesak nafas karena listrik mati tidak bisa menggunakan alat nebulator karena tidak bisa beli pulsa listrik asudahlah,1,BCAMobile_reviews
makin susah bikin lemot hp,1,BCAMobile_reviews
traksaksi gagal saldo terpotong uang nya kemana,1,BCAMobile_reviews
maaf kasi bintang gegara belain abu eh malah ngobrak ngabrik data nasabah prioritas pula bagaimana dengan kami ini,1,BCAMobile_reviews
mungkin harus di buat lebih simple seperti mbanking lain dan ya hari ini saya beli pulsa di mbca tapi tidak masuk dengan nominal rp,1,BCAMobile_reviews
verifikasi gagal terus gak jelas belum bisa login,1,BCAMobile_reviews
kenapa ya setiap copot pasang kartu sim selalu vertifikasi ulang dan memakai pulsa k mohon diperbaiki bug nya sangat merugikan pemakai,1,BCAMobile_reviews
pake qris dana udah ke sedot tp referensi di inbox ga kluar alhasil gagal bayar tp kesedot,1,BCAMobile_reviews
sering force close teruussssss g bisa di pake m banking gua,1,BCAMobile_reviews
setelah di upgrade periode undian gacha sekarang lemot ngabisin waktu ga jelas buat main gacha tuker point za smpe bbrapa puluh menitga sprti periode yg sblumnya cepat,1,BCAMobile_reviews
jaringan bagus tapi tidak bisa digunakan mana urgent lagi parah,1,BCAMobile_reviews
apa apa perlu sms apalagi sms berbayar gak wort ith banget user id ke blokir lupa kata sandi buat nelpon cs sama ngirim sms udh abis ribu lebih pun ga jadi semua klan aplikasi bca gak woth ith baik ini mybca halo bca pun sama,1,BCAMobile_reviews
semakin diperbarui semakin bobrok indikator sudah hijau sudah direset berulang kali saat cek saldo dan transaksi malah susah,1,BCAMobile_reviews
msuk verifikasi kenapa sekarang susahpadahal nasabah sendiri selalu gagal terus mau masuk verifikasi,1,BCAMobile_reviews
mau daftar aja susahtiap vedio call terhubung tapi gk ad respon,1,BCAMobile_reviews
woy ini mau login pke hp baru g bsa nomor dah sesuai yg dulu sinyal full wifi kenceng pket data bnyak masih aj g bisaa login,1,BCAMobile_reviews
semakin kesini makin ribet akses bca mobile masa harus ada ijinkan melacak lokasi rumah sy di pegunungan yang tidak ada sinyal gps masa sy harus nyari sinyal gps tolong deh dipertimbangkan lagi,1,BCAMobile_reviews
aplikasi bodoh buat login di device baru aja gk bisa padahal syaratnya udh semua hubungi cs juga malah gk ngebantu sama sekali,1,BCAMobile_reviews
gangguan prosesverifikasi login,1,BCAMobile_reviews
data nasabah perioritas malah dibocorin,1,BCAMobile_reviews
aplikasi aneh temen gua login masih dalam proses dari kemaren sore sedangkan gua cepet proses nya,1,BCAMobile_reviews
sinyal susahtdk spt aplikasi bank lain,1,BCAMobile_reviews
masa sudah berhari ga bisa di gunakan untuk transaksi,1,BCAMobile_reviews
tolong di perbaiki untuk fiturnya karna jika login ulang pengiriman kode otp sangat susah saya sudah mengulang berkalikali masih juga tidak ada kode otp masuk,1,BCAMobile_reviews
di update malah ga bisa di buka,1,BCAMobile_reviews
sekarang nyari rekening terdaftar tdk bisa diketikharus dicari manual,1,BCAMobile_reviews
bca ohhh bca masa setiap saat aku harus menginstal mu,1,BCAMobile_reviews
apk hewan eror di tinggal keluar apk kesalahan koneksi ngulang sms terus,1,BCAMobile_reviews
setiap buka aplikasipasti selalu tertutup sendiri ala hasil harus log in ulangkalau hanya terjadi sesekali ya wajarmungkin krn masalah jaringantp ini selalu terjadi saat buka app,1,BCAMobile_reviews
ini tadi saya install lagi udah hampir malah terus ngulang dari awal kenapa ya kak,1,BCAMobile_reviews
ketik nama mo hruf ke apa setrusnya da ga bisa hrs scrol suee,1,BCAMobile_reviews
jelek banget jaringan penuh tapi merah terus buka aplikasi lainnya lancar buka mbca malah merah,1,BCAMobile_reviews
maintenance selama jam halo apakabar kaum cardless,1,BCAMobile_reviews
kenapa kok gak bisa ke download,1,BCAMobile_reviews
mbengking sangan buruk capek verifikasi uda tau foto ktp uda tahun gagal terusnti ujungan bales nya dari bca maaf bapakibubales nya lagu lama dari bca,1,BCAMobile_reviews
gangguan mulu tolol,1,BCAMobile_reviews
sistem bca mobile sangat lemot ketika ada urgent transaksi jadi penghambat,1,BCAMobile_reviews
udah susah malah apa apa di persulit sekalinya suruh menghubungi cs malah di sedot habis pulsaku,1,BCAMobile_reviews
setelah d update nambah ga bisa ke bukaaa ampunnn saat darurat jd susah,1,BCAMobile_reviews
makin ke sini makin eror bca ga jelas sangat tidak menguntungkan ketika melakukan transaksi sangat tidak jelas lama kelamaan akan menurun pelangan mu apabila terjadi seperti ini terus menerus parahhhh,1,BCAMobile_reviews
semenjak di update jadi sering error ga seperti yg pertama,1,BCAMobile_reviews
kalau perbaikan jangan ham krjahobok,1,BCAMobile_reviews
bank bca pelayanannya buruk masalah buku tabungan terblokir du suruh ke cabang asal terus guna cabangnya dmn gmn itu udh dimintain uang materai jam nunggu tdk ada hasil bank besar kok pelayanan kyk koperasi,1,BCAMobile_reviews
pastikan kamera menangkap gambar dengan jelas padahal kameranya sudah jelas tapi tidak bisa terverifikasi,1,BCAMobile_reviews
mungkin harus ke kcp langsung susah bener ya,1,BCAMobile_reviews
mohon maaf bca mobile biasanya sangat praktis utk transaksi transfer tapi setelah update kok jadi tidak bisa pencarian nama transfer itu sangat memakan waktu ribet dan tidak efisien tolong untuk di kembalikan lg fitur pencarian nama transfer tsb karna sangat memudahkan terima kasih,1,BCAMobile_reviews
setelah update kok jadi gagal masuk terus yaa,1,BCAMobile_reviews
ini aplikasi kalau udah maintance gila lemot nya mana lama lagi hadehh bca gak berguna kadang di saat lagi urgent,1,BCAMobile_reviews
pas mau daftar kembali ke mbanking sangan sulit kurang memuaskan,1,BCAMobile_reviews
lemot banget masuk duitnya giliran saldo awal k ilang tiba dimakan admin cepet bangetttt,1,BCAMobile_reviews
ini kok setelah update jadi crash gini aplikasinya ga bisa di buka,1,BCAMobile_reviews
agar kita cepat tau berapa tabungan kita,1,BCAMobile_reviews
gk jls knpa ini coba mbangking gua,1,BCAMobile_reviews
cs tidak ada solusi sama sekali telpon oanjang lebar hampir jam tapi cs nya tidak memberikan solusi sama sekali atas keluhan nasabah gilak si,1,BCAMobile_reviews
habis update malah tidak bisa digunakan selalu auto close tanya wa bisnis bca jawaban sangat tidak menjawab,1,BCAMobile_reviews
ini aplikasi masih disuruh vermuk ga ya setelah ganti device soalnya wajah saya ga pernah cocok kalo di suruh vermuk jadi harus bolak balik ke kantor bca setiap mau login di device baru,1,BCAMobile_reviews
