content,clean_text,score,bank
Parah sih.. error pas dipake top up ke dana.. saldo berkurang tpi gk ada bukti transaksi berhasil dan uangnya gk masuk ke apk dana.. Udh ditunggu 1x24 jam tpi tetep blum masuk.. harus ditunggu brp lama lagi?,parah sih error pas dipake top up ke dana saldo berkurang tpi gk ada bukti transaksi berhasil dan uangnya gk masuk ke apk dana udh ditunggu x jam tpi tetep blum masuk harus ditunggu brp lama lagi,1,BCAMobile_reviews
"Halo BCA, HP saya yg lama rusak , saya pakai HP yg lain, pindahkan SIM card ke HP itu, verifikasi KTP bisa, nomor Kartu ATM sudah di-update, waktu mau request historis Transfer minta OTP, tapi saya cek ga ada OTP yg masuk ke HP saya, diulang Request OTP tetep saja gak ada OTP masuk ke HP. Tolong dicek kembali programnya, waktu mau kirim OTP tampilkan nomor HP yg mau dikirimin OTP, jadi user bisa cek nomor HP nya udah bener ato belum, jadi saya masih ga bisa transaksi apapun ini,OTP nyasar ke mn?",halo bca hp saya yg lama rusak saya pakai hp yg lain pindahkan sim card ke hp itu verifikasi ktp bisa nomor kartu atm sudah diupdate waktu mau request historis transfer minta otp tapi saya cek ga ada otp yg masuk ke hp saya diulang request otp tetep saja gak ada otp masuk ke hp tolong dicek kembali programnya waktu mau kirim otp tampilkan nomor hp yg mau dikirimin otp jadi user bisa cek nomor hp nya udah bener ato belum jadi saya masih ga bisa transaksi apapun iniotp nyasar ke mn,1,BCAMobile_reviews
"unistal, bego banget mau buka hsrus perbarui ga liat situasi, lagi jauh gada sinyal, penting buat ngecek2, bego2",unistal bego banget mau buka hsrus perbarui ga liat situasi lagi jauh gada sinyal penting buat ngecek bego,1,BCAMobile_reviews
"Verifikasi wajah gagal terus, apa tidak ada solusi lain untuk verifikasi pemilik rekening agar tidak harus selalu ke costumer service nya ketika ganti hp..??",verifikasi wajah gagal terus apa tidak ada solusi lain untuk verifikasi pemilik rekening agar tidak harus selalu ke costumer service nya ketika ganti hp,1,BCAMobile_reviews
"mohon maaf sudah beberapa kali mencoba untuk aktivasi lampu indikatornya tidak ada hijau sama sekali, sudah tanya ke MBA TELLER nya harus uninstall kemudian install ulang dan mencoba ulang, sudah saya coba tetep gak adaa, masalah sinyal, sinyal udah ada pulsa adaa tetep gak bisa saya coba terus sampe pulsa habis terkuras sama sekali tidak bisa.",mohon maaf sudah beberapa kali mencoba untuk aktivasi lampu indikatornya tidak ada hijau sama sekali sudah tanya ke mba teller nya harus uninstall kemudian install ulang dan mencoba ulang sudah saya coba tetep gak adaa masalah sinyal sinyal udah ada pulsa adaa tetep gak bisa saya coba terus sampe pulsa habis terkuras sama sekali tidak bisa,1,BCAMobile_reviews
Aplikasi di perbarui malah parah banget. Data udah sesuai.scan wajah sudah asli. Verifikasi gagal terus. Saya selaku nasabah BCA udah hampir 12 thn selalu mengandalkan Mbanking bca. Tpi sekarang sangat mengecewaka. Tolong pihak BCA. Veridikasi wajah di permudah.. trimaksih,aplikasi di perbarui malah parah banget data udah sesuaiscan wajah sudah asli verifikasi gagal terus saya selaku nasabah bca udah hampir thn selalu mengandalkan mbanking bca tpi sekarang sangat mengecewaka tolong pihak bca veridikasi wajah di permudah trimaksih,1,BCAMobile_reviews
Aplikasi makin gx jelas. Padahl mau buat penting,aplikasi makin gx jelas padahl mau buat penting,1,BCAMobile_reviews
Tambah bagus ya sekarang..ga ada angin ga ada hujan tiba-tiba suruh registrasi ulang..udah coba registrasi ulang tapi tetep ga bisa..suruh registrasi di atm bca..ga ngerti lagi sih sekarang pakai m-banking malah tambah ribet jadinya :-),tambah bagus ya sekarangga ada angin ga ada hujan tibatiba suruh registrasi ulangudah coba registrasi ulang tapi tetep ga bisasuruh registrasi di atm bcaga ngerti lagi sih sekarang pakai mbanking malah tambah ribet jadinya,1,BCAMobile_reviews
"Asli mau masuk mbanking susah skarang harus verifikasi wajah,. Sblm y gak pernah, ini wajah asli pemilik tapi gak ke ditek ribet",asli mau masuk mbanking susah skarang harus verifikasi wajah sblm y gak pernah ini wajah asli pemilik tapi gak ke ditek ribet,1,BCAMobile_reviews
Payah force close terus,payah force close terus,1,BCAMobile_reviews
