Singkatan/Slang,Frekuensi,Contoh Ulasan 1,Contoh Ulasan 2,Contoh Ulasan 3
nyimpen,126,[BCAMobile] makin aneh ni bca mau tf aja gk sama sekali padahal udah ganti jaringan sampe pake wifi tetep gk ngaruh gk gangguan apapun yg terjadi mau simpen no rekening aja gk nyimpen sama sekali yg invalid terus padahal no rekening nya udah bener malah invalid mulu kadang bikin malu nih aplikasi kira orang gk punya uang rekening,[BCAMobile] kecewa pertama nyimpen uang bca pertama kan potong admin trus sebulan potong trus sampe rb kalo kayak gitu lama saldo abissss kalo di poting trus,[BCAMobile] ga bank indonesia ga bank bca ga da bisa dipercaya buat nyimpen uang sekarang
bgini,126,[BCAMobile] ribet bgt ganti hp trs dwonload bca mobile masuk hrs pake id kan dimasukan dibilangnya salah trs kasih email dikirimlah id tp malah suruh masuk no rek no ktp itu lakukan prosesnya gilanya nnt disuruhnya masuk lg lg begitu lg sampe kali ngulang gedek masa ngurus bgini aja hrs bank mana jauh mana lama ngurus beginian bisa setengah hari karna antri jauh payah emg,[BCAMobile] gangguan kok malam minggu bgini orang mau transaksi apa apa jadi susah,[BCAMobile] kalo maintenance apapun info kan lah minimal kirim email lampu indikator merah terus pdahal sya nnton youtube sangat lancar syaa reinstall malah lebih parah ga masuk sama sekali notif nya koneksi terputus terus syaa butuh transaksi cepat bukan lemot ga jls bgini lama sya pindahin nih smua dana sya bank lol
gni,123,[BCAMobile] eh asli ni bca knpa dadakan gni dah urgent gk pake sinyal merah terus padahal jaringan kenceng wifi kenceng pak wifi di bilang koneksi terputus gk pake merah terus kalo maintance ato apa kasih pemberitahuan dong jangan tiba tiba kek gini,[BCAMobile] kayaknya yg jadi admin bca korupsi deh ko aplikasinya kayak gni lelet jir,[BCAMobile] ada notifikasi transfer masuk keluar kalah sama mbanking yg dan e wallet baru muncul masa sekelas bank bca kek gni
sja,122,[BCAMobile] transfer keblu berbayar haduh anak perusahaan bca sendiri sja bayar parah menyusahkan buat transaksi online,[BCAMobile] sementara aplikasi bisa digunakan tekan layar mana sja keluar,[BCAMobile] ini aplikasi bisa dibuka sebelumnya baik sja
ky,120,[BCAMobile] jelek klo udh ganti no hp gak bs masuk aplikasi ribet hrs registrasi ulang hp atm klo atm gak bs hrs kantor cabang gak ky brimo registrasi gampang biarpun ganti no hp cukup hp gak hrs ribet atm ke kantor cabang,[BCAMobile] jangan dipersulit dong masa gabisa log in pake wifi smntra sehari dirumah pake wifi permudah aja transaksinya ky kmrin,[BCAMobile] sekarang makin gak jelas sistem nya baru semalem diisi saldo rb pagi dicek sisa rb hilang rb gak laporan arah duit nya cek mutasi kosong bukan masalah nilai uang nya kerja kalian yg transparan untung gak nabung sini habis mutasi gak tanggung jawab ky nasabah yg parah banget sii kalo orang protes ktanya melawan diem seenaknya sikap nya katanya negara demokrasi tpi knpa semena mena krn punya kuasa sbenarnya dipermudah bgi
tsb,120,[BCAMobile] gmn uang ilang transaksi qris keterangan gagal tujuan qrisnya adaaa syaa coba x x uang hilang sesuai jumlah qris tp tidak ada tujuan qris tsb uangnya entah antah berantah mohon maaf saya nyari uang kerja walaupun g seberapa mohon proses,[BCAMobile] sekelas nasabah prioritas bca aja diretas haknya persetujuan nasabah tsb blacklist bca,[BCAMobile] menyalahin aturan data nasabah prioritas aja bs disebar luaskan izin nasabah tsb
boss,120,[BCAMobile] barcode gagal x saldo hilang juta gimna boss,[BCAMobile] ribet si boss,[BCAMobile] tingkatkan layanan bca mobilenya dong jangan di perbaharui malah jadi jelek kualitasnya dong boss gmn bca mobilenya
tdi,119,[BCAMobile] kmrin sisa uang rbu trs tdi pagi transfer teman ribu udh dicek mutasi udh benr ribu kok sisa saldo ribu ribunya kemna nih cek mutasi gak uang kluar,[BCAMobile] halo kenpa saya nggk login masa tdi mau login nggk,[BCAMobile] tdi tf qris gagal kok saldo kesedot min pokonya saldo harus dibalikin min
ngantri,118,[BCAMobile] adminnya nyusahin gua udah ngantri lama mentang mentang cewe gua salip lawak,[BCAMobile] di update aplikasi makin buruk nunggu jaringan stabil sampe menitan mau cardless aja hrs bolak balik aplikasi sampe x sending kodenya lama merah mulu padahal di belakang ngantri gimana si bukannya makin membaik malah makin buruk kembalikan aja versi yg lama,[BCAMobile] malu maluin udah ngantri bayar qris malah error mulu padahal jaringan bagus aplikasi dan saldo tapi erro trus ping biru pembayaran hijau malah nyusahin kalau gk bawa uang cash terjadi error gini
gamau,117,[BCAMobile] ribet kali dah suruh masukin kode otp kodenya ga muncul pesan gimana coba mau masukin kode otpnya ribet kali dah habis ganti device baru saya belikan pulsa masih gamau,[BCAMobile] serius nanya min tumben buka apk pake sinyal wifi gamau y min knpa min,[BCAMobile] kak maaf sepertinya saat gamau pake bca mobile dulu kecewa banget sama sms yg pake pulsa gagal teruss yg udah pulsa masi pake pulsa terus an gagal masalahnya klo pulsa sekali okelah kak kalo berkali mau isi saldo jadi ragu takut kendala transaksi kayanya selama dihapus fitur pake pulsa nya aku ga pake bca dulu deh
jngan,117,[BCAMobile] sekarang nunggu lampu indikato mau hijau lama sekali jadi lemot di perbaiki jngan bikin pengguna kecewa,[BCAMobile] sumpah jadi jelek banget abis upgrade bca mobile sering banget eror padahal sinyal bagus semua lah min jngan mau upgrade nya doang lo tpi perbaiki sistem atuh,[BCAMobile] bca fitur searching rekening ga untuk tujuan transfer scrool bawah it ga kerjaan kerja nya update update kalo mau update trial error dulu jngan langsung user malah nyusah in pengguna
dl,116,[BCAMobile] kok akhir jelek banget yaa pake bca mobile ngk telat dikit ngk mau digunakan merah terus notifnya mana log out dl baru masuk pun diulang berkali baru mau transaksi,[BCAMobile] sya kasih bintang dl karna blm tau gmn cara kerjanya karna baru tp knp transaksi pertama masuk tp isi saldo kosong ap harus dtang k kantor registrasi ulang karna daftar melalui online dibantu jawab makasih,[BCAMobile] fitur transfer sekarang scroll dl ga sebelum update tinggal klik aja huruf lsg keluar apa yg mau bikin ga nyaman jgn dirubah yg sdh bagus males lama pakenya klw bikin susah
ajaa,116,[BCAMobile] kenape nihhh mau tf susah banget padahal sinyal aman aman ajaa lahhh jadi susah mau ngapa ngapain,[BCAMobile] asli gw kecewa bangettttttt bisanya baru buka rekening dah hilang puluhan ribu niat gw pengen nabung d bca malah d bikin kecewa kalo bukan urusan kerjaan mending gw tutup rekening ajaa lah makin kecewa entah potongan apa gak sama sekali info nya gw kecewa lu bayangin aja baru minggu dah hilang puluhan ribu perbaiki dong kenyamanan customer,[BCAMobile] tiap masuk game gebyar bca kenapaa ga yaa koneksi terputus terus padahal sinyal bagus ajaa gapakai wifi rumah beda hp beda sinyal sama suami sama suamiku ga masuk gamenya suruh cek berkala tiap cek ga nya si padahal pengen dapet hadiah juga kaya periode sebelumnya maaf yaa bintangnya dulu karna bisa masuk gamenya
bosen,115,[BCAMobile] repot bgt skrg ga pake transaksi beberapa hari mau pake verifikasi ulang aja terus sampe bosen bca mohon perbaikannya terima kasih,[BCAMobile] sering suruh registrasi ulang terus bosen tiap minggu,[BCAMobile] bosen sama bca aja daftar laginya pake pulsa knp ga pke online aja kuota gtu hp reset aplikasi hapus udh tau udh ga zaman beli pulsa pake wifi skrg gua baru hapus aplikasi karna pake pulsa segala lah verifikasi nya ribet
bangettt,114,[BCAMobile] pemeliharaan sistem lama bangettt gw jadi gabisa pake pagi pagi hadehhhhhh,[BCAMobile] udah beberapa kali coba daftar tetep aja nggk padahal tinggal langkah terakhir ajaa udah habis pulsa berpuluh ribu tetep aja nggk katanya karna jaringan kurang stabil nyatanya internetnya jaringan udah bagus selalu pakai paket data tetep aja nggk bisaa asli emosi bangettt bikin sebel ituuu udah proses terakhir malah nggk diulang sama perbaiki nggk sorry nggk ngomong baik udah sebel banget,[BCAMobile] kalo abis update beberapa hari kemudian eror begitu sering bangettt mending bungkus
yng,113,[BCAMobile] verifikasi nomor telepon harusnya wa aja udh g relevan make pulsa malah makin ribet mahal udh verifikasi sms berkali kali yng ada gagal terus al hasil malah ngabisin pulsa doang,[BCAMobile] bca mobile kok makin lama makin lemot aplikasinya yng kerjanya sering transfer tiap hari sangaaat terganggu lambatnya respon aplikasinya sekarang dong dibenahi kadang mau pindah menu hampir detik baru respon,[BCAMobile] hv yng lama udah rusak saya ganti hv baru pas masukkin bca mobile yg seblom ny hv baru gagal terus sms buang sia gimna si bca
bales,113,[BCAMobile] pas mau masuk pesan nya ga bales bales,[BCAMobile] verifikasi sms nya gagal mulu ga pernah bales gimnaa sih,[BCAMobile] berangsur normal sih berangsur normal duitnya balikin dulu dong mau pake laporkan tp ada tindaklanjut nya kalo mau gercep jangan di bales ratting google play deh coba penyelesaian masalahnya jangan rating doang dijaga layanannya jg rating bales gercep bgt pengaduan kaya ga keliatan
sebenernya,112,[BCAMobile] baru kendala diakses masuk berusaha nanya cs bca sampek isi pulsa rb gak solusi bener bener kecewa sama bca sekelas bca cs nya bikin bete asli dah kapooook kalau ada kesempatan mau pindah aja bank sebenernya bca nya aman aja cs nya ampun dah,[BCAMobile] pagi gabisa cek saldo maupun tf apa sebenernya,[BCAMobile] sebenernya aman aja bagus bagus aja cuman kalau sesama bca ada notifikasi masuk mohon kalo sesama bca tetap diberi notif
mao,112,[BCAMobile] sialan malem pemeliharaan sistem gua mao transaksi jadi ga,[BCAMobile] aplikasi ada masalah apa mao tarasper selalu gagal coba ber kali kali tetap bisa mohon pemberi tahuan,[BCAMobile] bca mangkin gak jelas ganguan terus map transfer ortu gak biasa mao qris tf antar bank udah selesai saldo terpotong belom masuk ke rekening yg tuju perbaiki jaringan eror membuat nasabah sangat mwnyesalkan
brpa,112,[BCAMobile] dihh brpa kali mauu buka mbanking gabisa ters pulsa udah mau rb potong terus males banget bca,[BCAMobile] kalo bru dftr online ambil tahapan kartu blue di isi saldonya berpa tadi sya tf rb tpi blum verifikasi klo bru dftr emang diisi brpa biar diaktifin kartu nya,[BCAMobile] se minggu daptar m bca tpi gak masuk gangguan terus udh habis pulsa brpa cba buat sms hadeuh
nyambung,112,[BCAMobile] qris eror rugi transaksi x loh ulangi transaksi ga masuk penerima ga becus ni aplikasi pengaduan whatsapp call center nya ga jelas suruh sekolah biar eq nya sama yg omongin ni ga nyambung laporan masalah qris eror saldo ga masuk penerima gimana ni sekarang ga pengembalian saldo ngadu whatsapp malah eror yg jawab bilang a malah jawab b,[BCAMobile] kemarin sampei hari gak nyambung video call customer service buka rekening baru gak kaya tahun sebelumnya cepet,[BCAMobile] semenjak update x terakhir malah jadi susah transaksi qris loading terus ga mau nyambung padahal jaringan stabil nyambung buat yg dikembalikan sebelum update ya
jngn,111,[BCAMobile] bca diperbaiki sistem login salah id login m banking jngn dipersulit nasabahnya atm bank bca harus telfon cukup kode otp hari minggu bank tutup atm emang buka tpi ujung ujungnya suruh telvon ke kalau telvon banyak makan pulsa saja terimakasih,[BCAMobile] kebiasaan banget kalo pemeliharaan jam malem semua ada keperluan jngn apa apa pemeliharaan mulu waktu nya cukup lama coba jngn jam malam pemeliharaan nya kalo ini semua susah semua pegang cash di perbaiki jam jam pemeliharaan nya min,[BCAMobile] imi mslh force close mau sampe kapan udah hari ga dibuka apk nya pendaftaran ulang sama ga kalo update yg bnr jngn asal lah
w,111,[BCAMobile] mksdnya apa sih ini dikenakan biaya lg kor biaya w d swt decl kepotong x auto debit,[BCAMobile] bikin emosi klu lg mbangking makin ksini susah bgt masuk w lg desa susah cari atm woiiiii,[BCAMobile] top up dana duit gak masuk saldo kepotong parah bank busuk dah kali ni w top up dana gak masuk
sprti,110,[BCAMobile] skr bca mobile tambah lemot setelah update ga sprti sebelumnya enak digunakan responsip,[BCAMobile] mobile banking tetangga sebelah canggih canggih laporan mutasinya perbulan tampil menyeluruh bca it nya kynya kurang canggih terutama masalah laporan mutasi transaksi harian alesannya klasik memori ngak cukuplah data kepenuhan proses datanya lama de el el kalo bank sekelas bca punya alesan sprti norak ya intinya nasabah bayar admin tp pelayanan fitur kurang memuaskan bg nasabah iya satu dlm beli ticket pelni nya srng error,[BCAMobile] knapa bca ga sprti dulu jaringan intenet bca buruk sgt buruk bagus ga pernah troble kpi intenet dulu bgus jaringan bca knapa krg buruk mau login tapi transaksi gagal saldo kepotong cek plafon qrs yg dibayar ktnya ditolak mgkn sudah hrs leave bca klo kya gini terus
msk,110,[BCAMobile] kode otp nya knp ga masuk plsa jaringan bgus tp ga msk sma skli mohon perbaikan a,[BCAMobile] parah u tlp pls smpai abis solusi ga da byr qris saldo kepotong merchant ga msk parah bca qris y duit ilang,[BCAMobile] transaksi mutasi rek tp g msk gagal jaringan terus call center pdhl wa pengaduan tetap solusinya tlp call center apagunanya wa pengaduan
spt,109,[BCAMobile] sinyal susah tdk spt aplikasi bank,[BCAMobile] kenapa beberapa bulan loading nya lama buka aplikasi nya lama diperbaiki dong biar lancar spt kemarin,[BCAMobile] semakin kesini semakin kesono tdk login selalu force out bgmn bca kaya gini tim developernya kaya apa update memberikan nilai lebih pelanggan malah gak dipakai sdh lakukan spt yg disarankan u hapus data tp menyelesaikan masalah apa ygmau dicapture baru buka detik sdh langsung force close fitur aksesibilitas sdh dimatikan semua tp tetap force close stlh dtk mau masukkan digit no kartu sj sdh force close aplikasi sampah
hub,109,[BCAMobile] dipindahkan hp laen diulang dr awal tp verifikasi terahir minta foto wajah da sampe kali bisa alhasil disuruh hub pusat m bca nya terblokir dong solusinya gimana sih,[BCAMobile] diperbaiki sistem nya kode otp ga terkirim udahh makan pulsa ribu ga hasil udah hub cs digital kata nya nomor yg kendala kalau kendala bank mandiri pun ga bakal terkirim nyata nya bank mandiri terkirim ga perlu pulsa,[BCAMobile] mau hub cs nanya masalah mutasi rekening susah diputer in terus ngabisin pulsa doang
lngsung,109,[BCAMobile] kenapa mau buka mbanking meni susah kebuka udah masukin kode akses tiba tiba langsung tulisan tunggu beberapa lagi terus lngsung keluar aplikasi mbanking nya kali coba tetap sama hadehhhh bikin kesal,[BCAMobile] gimana cara login ulang mbaking aplikasi kehapus udah habis pulsa banyak ttp aja gabisaa udah coba cara itu youtube ga malah disuruh atm nya lngsung,[BCAMobile] sangata mengecewakan udah dftar bca mobile krena gnti hp niat masuk akun tpi mlah d tolak sruh msukin no d atm juga udh sesi foto diri mlah selalu d tolak pda akhirnya mlah akun mobile sya d blokir lngsung offkan sklian rekening g jelas bnget udh ngikutin intruksi mlah d tolak mulu d sruh hbungi cs tpi gliran d telvon mlah suara sya tdk dpat menghubungi cs area sini
sndri,109,[BCAMobile] bisa dibuka selalu kluar sndri terus,[BCAMobile] udh gk buka tiba kluar di klik kliuar lg terjadi lg ya ilang sndri app nya,[BCAMobile] gila uangnya kurang sndri anjir bukan potongan bulanan padahal
bkn,108,[BCAMobile] ada aja nih bca masa maintenace hari sabtu mlm minggu kaya gini udah tau klo sabtu mlm minggu udah banyak transaksi malah maintenace bkn hari biasa malah hari lg sibuk sibuknya transaksi ngaco,[BCAMobile] tgl update malah makin lemot dri pas masuk diawal aja udh lemot cek saldo jg sama lemot mw byr qris sama lemot munculnya org tuh update bkn malah mkin jelek it nya ganti,[BCAMobile] maaf sy mo ganti bank krna yg nafkahi sy slama mandiri bkn bca
gaje,107,[BCAMobile] bca gaje sinyal bagus merah mulu,[BCAMobile] apk gaje ribet,[BCAMobile] apaan nih gaje banget ngelag parah padahal jaringan bagus kuota mau bayar malah ngelag terus parah bca
sll,105,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] sll susah cek inbox transaksi padahal jaringan lampu hijau tp sll keluar terus apk,[BCAMobile] aplikasi macam apa gk digunakan mau tranfer lampu biru sll udh lelet
ngetik,105,[BCAMobile] gimana sih kok mau ngetik pin salah mulu kalo mau bener diketik lambat dulu pinnya maksudnya pas proses input mungkin karakter tertinggal sistem pinnya menjadi salah,[BCAMobile] apk update indikator merah padahal sinyalnya lancar malah lemot ngetik pin aja berasa berat banget smooth kyk update,[BCAMobile] sangat menyulitkan masuk keyboardnya jadi gak respon susah payah masuk ngetik nominal mau transfer macet
nyebelin,104,[BCAMobile] kadang suka ngelag tiba tiba nyebelin,[BCAMobile] lama nyebelin karna qiris susah gunakannya,[BCAMobile] astaga ribet banget baru pertama kali instal terinstal tiba tiba minta verifikasi ngirim sms mana pake pulsa jaman sekarang sudah mulai jarang orang beli pulsa switch cara g sih kuno banget bikin repot beli dulu terus kadang sudah ngirim sms tetep gagal tuh verifikasi nya nyebelin banget gila g sih dibuat praktis tuh butuh nyimpen uang terus uang yg disimpan di akses mudah bkn ribet gini
apus,103,[BCAMobile] apaan tuh bca mobil gw kecewa banget nih masalah pin masa pin bener dibilang salah giliran ketik x salah jg eh kena blokir dah masalah pin makanya gw males download lg gw apus apk nya gw ud kecewa banget mau urus males cuma masalah pin doangan biar diblokir bca gw kalo gk bayar perbulannya terlalu,[BCAMobile] min udah apus data paksa berhenti ttp ngbug bacaannya lah perbaiki pdhl baru aja updet ehh malah ngbug,[BCAMobile] donlod ulang sampe kali aplikasi bca stelah ceklis item mau apus aplikasinya bagimna mau foto gambarnya kirm kemari bis emngnya
macem,101,[BCAMobile] susah kalo mo transaksi segala macem nya kudu nunggu warna hijau sedangakan kadang ga hijau hijau tuh lampu nyusahin,[BCAMobile] gangguan mulu dah heran pas penting mau bayar segala macem tiba tiba gangguan mana keluar ga pernah bawa cash,[BCAMobile] sekarang kok sering eror tdk liat saldo segala macem
kurangin,101,[BCAMobile] aplikasi tolol transfer udah pas pake kurangin yang transfer gag sisa saldo tololl kena potong admin perak akhirnya mau transfer kaga apk tololl,[BCAMobile] jelek banget dah layout transfer jd banyak renggang dikiri kanan knapa gk dibikin dinamis aja kurangin padding right left top down nya hrusnya sekelas bca udh make constraint sih,[BCAMobile] update malah ga berfungsi baik kurangin aahk bintang nya
brapa,100,[BCAMobile] bola balik transaksi dapat proses utk udah verifikasi ulang bisa brapa waktu gitu padahal update terus beberapa kali capek isi pulsa terus cuma buat verifikasi ulang,[BCAMobile] buat developer ini knpa mau login lg mbanking verif muka udh coba brapa kali ttep gabisa masuk lingkaran bingkai nya terus merah heran,[BCAMobile] sdh brapa x aja apliaski nya sll minta diapdet ulang trus selalu ngebalik memasukan no kartu atm nya parah
tuk,100,[BCAMobile] m banking baru update justru bermasalah aksesibilitas dinonaktifkan hadeh disable aplikasi yg butuh aksesibilitas tuk dikorbankan m banking bca makin buruk gini,[BCAMobile] mbanking keblokir krn salah pin ikutin petunjuk cara tuk buka tlp halo bca ujung nya suruh tlp jg aneh adapun cara selanjutnya download halo bca ribet makin lama makin aneh mempersulit nasabah pulsa gakda tuk tlp pakai halo bca ribet atm gakbisa krn tulang rusuk lgi patah mending pindah bank digital gak ribet mo transaksi apapun lebih mudah costumer kok dipersulit ribet,[BCAMobile] terlalu parah buat m banking bca daripd bank slama pnya m banking bank memuaskan cuma bca yg bobrok ga tf va bank halooow hari gini gunanya apa m banking klo tuk memudahkan transaksi udh gitu byk penipuannya krn sistem lemah
ngomong,100,[BCAMobile] barusan ditelp bca jelasin ttg kartu kredit ngomong nya cepat hampir ga ngerti ujung ujungmaksa wajib ikut asuransi dipotong melalui credit bca bicara mutar mutar ngotot diajak bicara wajib ikut asuransi gila nelp hampir menit mmg gila menganggu padahal dah blg ada asuransi maksa,[BCAMobile] banget cs nya di bca kcp krakatau jangan sok sok banget masa mau buka rekening tabungan cs nya ngomong gak kak transaksinya kurang gaji kk mencukupi krn pernah buka tutup maksudnya apa gaji kecil gak nabung gitu ud sering bgt mslh yg cabang nya langsung krn dekat rumah jadi sy ke sana gak pernah solusinya mereka sllu bikin jengkel yg ada ke cabang kok saya buka rek baru disana dilayani,[BCAMobile] nyesel pake bca top up flazz bca gagal transaksi uang dah hilang bukanya ganti malah kebanyakan ngomong akhirnya gantiin uang bos sangka nyuri padahal masalah transaksi gagal jelasin detail ungkit direktur nya allah
skr,99,[BCAMobile] skr makin lemot aja kl buka qris,[BCAMobile] skr buka mbca nya lama nget mau trf lama qris lama apa dgn layanan bca skr,[BCAMobile] skr bca mobile tambah lemot setelah update ga sprti sebelumnya enak digunakan responsip
sblm,97,[BCAMobile] sblm jam bca sulit bgt buat ambil cashless kalau butuh urgent kan jadi susah perbaiki sistemnya,[BCAMobile] nunggu lampu hijau nya lama kali biasanya sblm update mudah cepat,[BCAMobile] gmn sih setelah diupdate masukkin pin kok salah trs pdhl pin sama sblm diupdate bs tp pas diupdate kok salah melulu
gag,97,[BCAMobile] di update kok lama banget indikator merahnya mau transaksi lama banget lebih bagus versi sebelumnya cepet gag lelet kayak sekarang,[BCAMobile] parah parah mau transaksi transfer duit nunggu menit sampe setengah jam lampu merah mllu gag berubah lampu lalulintas aja merahnya gag selama hufft,[BCAMobile] di update malah error gag transaksi jadinya
bbrpa,97,[BCAMobile] potongan admin mulu pembaruan bbrpa x mah admin cuma skali potong skrg mah jadi mahal admin nya,[BCAMobile] mendingan nyimpen dwt celengan drpda rekening atm jarang pake pajak jalan terus klw saldo nya sih iah aja saldo nya nol isi saldo eh saldo nya langsung kena potong karna selama bbrpa bulan gk di isi hadeeeeehhhh untung banyak kan bank nya klw dwt sendiri sih lah dwt titipan orang nombokin jadi nya,[BCAMobile] mau tf nama yg tf muncul padahl udah save hingga bbrpa laki dicoba baru kedua sebagai nasabah cukup terganggu cs asuransi selalu telpon saat tahu kalian bekerja bbrapa kali kita baik baik udah menolak ehhh makin banyak aja yg nelpon hadeehhh maaf bintang aja
sekrang,97,[BCAMobile] asli sering banget merah trus sinyal bagus padahal aneh bca sekrang,[BCAMobile] update sekrang kok lemot indikator matot padah jarungan stabil di update ini,[BCAMobile] qris sering gangguan saldo terpotpng tidak ke penerima keterangan transaksi gangguan saldo tepotong sekrang balik
dak,97,[BCAMobile] ferifikasi wajah knp nambah sulit padahal dulu enak gonta ganti hp login sekarang ferifikasi wajah ktp tidak bisa pas ferifikasi wajah aja hari coba trs tetep dak bisa kacau padahal nasabah lama thn baru kali merasa kecewa,[BCAMobile] dak suka bca,[BCAMobile] punya ku dak transaksi cuma buat cek saldo aja
fto,95,[BCAMobile] sya udh hpus pindahin file fto video dri pnyimpanan internal kartu sd trus baru update tpi stelah slesai update bacaan kosongkan ruang penyimpanan gajelas hrus gmana lgi coba apk mbanking mau tf ga bsa ngambil duit tnpa kartu ga bsa byar barang pke qriss ga bsa hadeuhh mau smpe kpan nih apk error,[BCAMobile] tambah lelet buka aplikasinya bukti transaksi berupa fto,[BCAMobile] aplikasi ngambil fto ulang smpe jm ga pdhal cahaya cukup sesuai instruksi hadeh
nonton,94,[BCAMobile] aplikasi error terus koneksi terputus statusnya padahal nonton youtube buka dan buka aplikasi bank lain jg bs kenapa dengan bca,[BCAMobile] akhir kenapa terlalu sering gangguan untuk lampu indikator sering gak warnanya padahal pakai wifi nonton apk waktunya mau tranfer mobile bca nya gak bisa lampu indikator gak hijau,[BCAMobile] baru kalo pake mbangking serumit awal pake bingung krn mau transfer aja ribet gak kayak mbangking tingal masukin no tujuan nominal transfer selesai sini simpan dulu trus kirim sesama bank aja bingung harus nonton tutorial youtube sama mau isi pulsa aja ribet banget kalo buka terima gaji malas sekali pake mbangking bca ya dirubah biar gak terlalu ribet jangan balas nanti kami proses masukan ibu gak di rubah sy yakin
mnding,94,[BCAMobile] mau daftar yg layanin cewe selalu ribet kurang puas jadi mnding pindah aja bank,[BCAMobile] kendala verifikasi eh oper mulu dr wa chat web suruh tlp tetep aja ujung nya k kantor pdhl bru bbrp buln lalu update data d kantor msa k kantor lg buang waktu mnding ganti bank aja,[BCAMobile] apk bapukkk ga jelas lampu nya merah terus padahal jaringan bagus mnding jangan dah yg pake bca bapuk ni apk
lwt,94,[BCAMobile] sy sdh daftar sdh dkrm lwt sms kok blm bs dbuka,[BCAMobile] tgl april jam tlp cust servis mnt aktifkan mbanking nya yg terima cowok cara bicara kurang sopan klo pegawai bca pusat lwt by tlp cara bicara etika yg enak dengar donk,[BCAMobile] aktivasi ulang kode akses muncul malah pemberitahuan suruh aktivasi lwt atm bca sudah call hallo bca sudah ikuti sarannya tetap suruh aktivasi lwt atm
gapernah,93,[BCAMobile] apk sampah mt gapernah kasih info,[BCAMobile] kacau sih harusnya pembayaran qris kalo emng gagal harusnya saldo gausa dipotong kalo begini aga ribet haeus diurus urus dulu kacau si bca gapernah revisi padhaal udah banyak begini kasusnya qris saldo terpong ke penerima masuk harusnya revisi bukan cuman diem aja kacau,[BCAMobile] gapernah sekecewa sama bca data nasabah prioritas ajaa di sebar gmna yg xpresi
gnti,93,[BCAMobile] sangata mengecewakan udah dftar bca mobile krena gnti hp niat masuk akun tpi mlah d tolak sruh msukin no d atm juga udh sesi foto diri mlah selalu d tolak pda akhirnya mlah akun mobile sya d blokir lngsung offkan sklian rekening g jelas bnget udh ngikutin intruksi mlah d tolak mulu d sruh hbungi cs tpi gliran d telvon mlah suara sya tdk dpat menghubungi cs area sini,[BCAMobile] jadi was pakai bca hbis uninstal gnti bank takut data bocor share seenaknya sekelas prioritas bsa d share public ijin d bawahnya mkasih bca berat hati meninggalkan bca,[BCAMobile] parah bank ngubek rekening orang semenjak kasus lgsg gnti rekening bank deh tiati ges be smart
keliatan,92,[BCAMobile] bca skarang pelayanan nya koq jelek banget ngga kaya dulu dulu pelayanan nya cukup org cepet selesai nya sekarang buka rekening aja lempar sana sini tangani org yg menjadi lama banget selesai nya masuk jam selesai jam satpam dulu sama yg skrg jauh lebih ramah yg dulu satpam bca dulu terkenal ramah menyambut membantu nasabah tp skrg keliatan kaku banget sy alami di bca kcb cikande yg di ruko kawasan industri ckd,[BCAMobile] berangsur normal sih berangsur normal duitnya balikin dulu dong mau pake laporkan tp ada tindaklanjut nya kalo mau gercep jangan di bales ratting google play deh coba penyelesaian masalahnya jangan rating doang dijaga layanannya jg rating bales gercep bgt pengaduan kaya ga keliatan,[BCAMobile] x uang hilang ada mutasi pertama hilang k hari hilang k klo mau ngambil uang jangan saldonya dikit dong keliatan bgt
yak,91,[BCAMobile] ngaturnya ribet yak ke atm dulu aktifin eh udah diaktifin lewat atm aplikasinya bilang aktifin atm ujung ujungnya ke kantor cabang bca mending mybca kalo begini,[BCAMobile] ribet yak gara hp riset no kartu hilang pas download lg mau masuk nya sulit era digital gini serba mudah ga kaya bank nya bca bener dah ketinggalan jauh sma bank lainya yg serba mudah,[BCAMobile] update versi terbaru bukannya main bagus malah ngeleg mau masuk tampilan bca aja lama banget update software yak
hpus,89,[BCAMobile] transaksi qr knpa gak di hpus min,[BCAMobile] sya udh hpus pindahin file fto video dri pnyimpanan internal kartu sd trus baru update tpi stelah slesai update bacaan kosongkan ruang penyimpanan gajelas hrus gmana lgi coba apk mbanking mau tf ga bsa ngambil duit tnpa kartu ga bsa byar barang pke qriss ga bsa hadeuhh mau smpe kpan nih apk error,[BCAMobile] mending apk kek gini hpus aja masa data u yg masukin pas slah terus heran lah kno apk kek gini bertahan
gpp,89,[BCAMobile] cukup tau aja katanya bank nomor satu indonesia susah minta ampun mau buka rek online udah telp konfirmasi online terkendala penulisan nama ktp gak sesuai kan terisi otomatis foto ktp recheck foto dari cs online nya gak diproses data dikembalikan gak tuh malah apk nya error dibuka gak jadi buka gpp kok ada bank yang lebih manusiawi pembukaan reknya cuman bagus katanya sekuritinya aja,[BCAMobile] bca lg knpa segala asuransi aia maksud a apa coba klo d jamin pemerintah si gpp lah org susah payah cari uang mlh d potong asuransi aia sya ga butuh asuransi gt jd deh jgn d sangut pautin yg ga jls,[BCAMobile] kenapa yaaa tadi siang gpp kok sekarang malah gangguan gini kasih solusi dong makasih
